Augment / Cannith Crafting Result at Level,,,,,,,,,,,
,,Level,,,,,,,,,
Enchantment,Source,0,4,8,12,16,20,24,28,34,
Ability,Augment,1,3,5,6,8,9,11,12,-,
,Cannith,,,,,,,,,15,
Ability (Insightful),Augment,-,-,-,-,-,-,5,5,-,
,Cannith,,,,2,3,4,5,5,7,
Ability (Exceptional),Augment,-,-,-,-,-,1,1,1,-,
Ability (Exceptional - All),Augment,-,-,-,-,-,-,1 (lvl 25),-,,
Ability (Festive Int/Wis/Dex/Cha),Augment,-,-,-,-,-,2,2,2,-,
Weapon Elemental Damage,Augment (or either?),1d6,2d6,3d6,4d6,5d6,6d6,7d6,8d6,-,
Spell Power (one),Augment,38,55,70,84,97,111,125,139,-,
,Cannith,,,,,,,,,159,
Natural Armor,Augment,1,3,5,6,8,9,11,12,-,
,Cannith,,,,,,,,,15,
Protection,Augment,1,3,4,5,6,7,8,10,-,
,Cannith,,,,,,,,,12,
Resistance (Saves),Augment,1,3,5,6,7,8,10,11,-,
,Cannith,,,4,5,6,,9,10,12,
Fortification,Augment,25,75,100,100,100,100,100,100,-,
,Cannith,38,55,70,84,97,111,125,139,159,
False Life,Augment,4,12,18,23,30,36,42,48,-,
,Cannith,,,,,,,,,57,
Elem Resistance,Augment,5,10,15,20,25,30,35,40,-,
,Cannith,4,12,18,24,30,36,42,48,57,
Wizardry,Augment,19,60,96,129,162,195,228,261,-,
,Cannith,,,,,,,,,310,
Striding,Augment,10,20,30,30,30,30,30,30,-,
,Cannith,3,8,12,18,24,,,,30,
- Alactiry with 30% striding,,-,-,-,5,10,15,15,15,15?,
Proof Disease,Augment,-,2,4,6,8,10,10,10,-,
,Cannith,1,3,,5,6,8,9,,12,
Proof Poison,Augment,-,2,4,6,8,10,10,10,-,
,Cannith,1,3,,5,6,8,9,,12,
PRR and MRR,Augment,3,8,12,16,20,24,28,32,-,
,Cannith,,,,,,,,,38,
Dodge,Augment,1,3,5,6,8,9,11,12,-,
,Cannith,,,,,,,,,15,
Skill,Augment,3**,5,10,13,15,17,18,19,-,
,Cannith,,,,,,,,,22,
Arcane Spell Failure,Augment,-,-,-,-5,-10,-15,-15,-15,-,
,Cannith,-,-5,-10,-10,,-10,-10,-10,-10,
Spell Focus (one),Augment,-,-,-,-,1,1,2,2,-,
,Cannith,1,2,2,3,3,4,5,5,6,
Luck,,-,-,-,1,1,2,2,2,-,
Max Dex,,-,-,-,1,1,2,2,2,-,
Tactics DCs (one),Augment,2,4,6,7,9,11,12,14,-,
,Cannith,1,,,,,,,,17,
Silver,Augment,Y,,,,,,,,,
Bysh,Augment,,,Y,,,,,,,
Adamantine,Augment,,,,Y,,,,,,
Cold Iron,Augment,,,,,Y,,,,,
Ghost Touch,Augment,Y (?),,,,,,,,,  <-- These all questionable... Wiki not clear.
Chaotic / Lawful / Evil,Augment,,,Y,,,,,,,
Good,Augment,,,,Y,,,,,,
Feather Fall,Augment,-,Y,,-,-,-,-,-,-,
Blindness Immunity,Augment,-,-,Y,-,-,-,-,-,-,
Death Ward,Augment,-,-,-,Y,-,-,-,-,-,
Underwater Action,Augment,-,Y,-,-,-,-,-,-,-,
Fear Immunity,Augment,-,-,Y,-,-,-,-,-,-,
Vitality,,-,-,20 (lvl 11),,-,-,-,-,-,
All Experience,,5%,,,,,,,,,
Enchantment,Source,0,4,8,12,16,20,24,28,34,
,,,,,,,,,,,
* Level 34 only available via Cannith crafting.,,,,,,,,,,,
** Lvl 1 Skill result needs confirmation.,,,,,,,,,,,
