enchantmentID,enchSortOrder,enchGroup,enchName,enchShortName,enchBonusType,enchEffect,enchCannithMinLevel,enchAugmentMinLevel,enchDesc,enchSupercededBy,allEnch,basic,nonscaling,forMeleeDmg,forRangedDmg,forACDefence,forResistDefence,forHitPoints,forAlchemist,forArtificer,forBarbarian,forBard,forCleric,forDruid,forFavoredSoul,forFighter,forMonk,forPaladin,forRanger,forRogue,forSorcerer,forWarlock,forWizard,enchNotes,createBy,createTime,updateBy,updateTime
1000,64,Ability,"Ability (Charisma)",CHA,Enhancement,CHA,0,0,"Enhancement bonus to CHA",NULL,1,0,0,0,0,0,0,0,0,8,0,32,8,0,8,0,8,16,0,0,32,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1010,128,Ability,"Ability (Constitution)",CON,Enhancement,CON,0,0,"Enhancement bonus to CON",NULL,1,1,0,0,0,0,8,32,0,1,32,8,8,8,8,16,16,16,16,8,8,8,8,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1020,192,Ability,"Ability (Dexterity)",DEX,Enhancement,DEX,0,0,"Enhancement bonus to DEX",NULL,1,1,0,16,32,16,8,0,0,16,16,0,0,0,0,16,16,16,16,32,16,0,16,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1030,256,Ability,"Ability (Intelligence)",INT,Enhancement,INT,0,0,"Enhancement bonus to INT",NULL,1,0,0,0,0,0,0,0,16,32,0,0,0,0,0,0,0,0,0,32,0,0,32,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1040,320,Ability,"Ability (Strength)",STR,Enhancement,STR,0,0,"Enhancement bonus to STR",NULL,1,0,0,32,16,0,0,0,0,0,32,0,0,0,0,32,32,32,32,16,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1050,384,Ability,"Ability (Wisdom)",WIS,Enhancement,WIS,0,0,"Enhancement bonus to WIS",NULL,1,0,0,0,0,0,16,0,0,16,0,0,32,0,0,0,8,0,8,32,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1055,416,Ability,"Imperial Blood",ALL,Enhancement,"ALL Abilities",100,14,"+3 Enhancement bonus to ALL Ability Scores",NULL,1,1,1,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1060,448,Ability,"Insightful Ability (Charisma)","Ins. CHA",Insight,CHA,10,24,"Insight bonus to CHA",NULL,1,0,0,0,0,0,0,0,0,8,0,32,8,0,8,0,8,16,0,0,32,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1070,512,Ability,"Insightful Ability (Constitution)","Ins. CON",Insight,CON,10,24,"Insight bonus to CON",NULL,1,1,0,0,0,0,8,32,0,1,32,8,8,8,8,16,16,16,16,8,8,8,8,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1080,576,Ability,"Insightful Ability (Dexterity)","Ins. DEX",Insight,DEX,10,24,"Insight bonus to DEX",NULL,1,1,0,16,32,16,8,0,0,16,16,0,0,0,0,16,16,16,16,32,16,0,16,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
