"itemOptionID","itemOptionSortOrder","itemOptionItem","itemOptionSlot","itemOptionEnchantment","createBy","createTime","updateBy","updateTime"
10000,0,"Goggles","Augment 1","Yellow",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10010,1,"Goggles","Augment 1","Blue",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10020,2,"Goggles","Augment 1","Colorless",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10030,3,"Goggles","Augment 2","Yellow",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10040,4,"Goggles","Augment 2","Blue",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10050,5,"Goggles","Augment 2","Colorless",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10060,6,"Goggles","Prefix","Ability (Intelligence)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10070,6,"Goggles","Prefix","Ability (Wisdom)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10080,6,"Goggles","Prefix","Seeker",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10090,6,"Goggles","Prefix","Blindness Immunity",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10100,6,"Goggles","Prefix","Persuasion",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10110,6,"Goggles","Prefix","Skill (Concentration)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10120,6,"Goggles","Prefix","Skill (Disable Device)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10130,6,"Goggles","Prefix","Skill (Search)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10140,6,"Goggles","Prefix","Spell Focus (Abjuration)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10150,6,"Goggles","Prefix","Spell Focus (Conjuration)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10160,6,"Goggles","Prefix","Spell Focus (Divination)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10170,6,"Goggles","Prefix","Spell Focus (Enchantment)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10180,6,"Goggles","Prefix","Spell Focus (Evocation)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10190,6,"Goggles","Prefix","Spell Focus (Illusion)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10200,6,"Goggles","Prefix","Spell Focus (Necromancy)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10210,6,"Goggles","Prefix","Spell Focus (Transmutation)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10220,6,"Goggles","Prefix","Underwater Action",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10230,6,"Goggles","Suffix","Melee Alacrity",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10240,6,"Goggles","Suffix","Ranged Alacrity",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10250,6,"Goggles","Suffix","Deadly",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10260,6,"Goggles","Suffix","Spell Penetration",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10270,6,"Goggles","Suffix","Accuracy",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10280,6,"Goggles","Suffix","Skill (Open Lock)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10290,6,"Goggles","Suffix","Skill (Spot)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10300,6,"Goggles","Suffix","Insightful Skill (Concentration)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10310,6,"Goggles","Suffix","Insightful Spell Focus (Abjuration)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10320,6,"Goggles","Suffix","Insightful Spell Focus (Conjuration)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10330,6,"Goggles","Suffix","Insightful Spell Focus (Divination)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10340,6,"Goggles","Suffix","Insightful Spell Focus (Enchantment)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10350,6,"Goggles","Suffix","Insightful Spell Focus (Evocation)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10360,6,"Goggles","Suffix","Insightful Spell Focus (Illusion)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10370,6,"Goggles","Suffix","Insightful Spell Focus (Necromancy)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10380,6,"Goggles","Suffix","Insightful Spell Focus (Transmutation)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10390,6,"Goggles","Suffix","True Sight",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10400,31,"Goggles","Extra","Insightful Ability (Intelligence)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10410,31,"Goggles","Extra","Insightful Ability (Wisdom)",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10420,31,"Goggles","Extra","Insightful Assassinate",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10430,31,"Goggles","Extra","Insightful Seeker",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10440,31,"Goggles","Extra","Insightful Spell Penetration",0,"2021-10-04 04:02:44",0,"2021-10-04 04:02:44"
10450,31,"Goggles","Extra","Tendon Slice",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10460,31,"Goggles","Extra","Insightful Skill (Disable Device)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10470,31,"Goggles","Extra","Insightful Skill (Search)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10480,31,"Goggles","Extra","Insightful Skill (Spot)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10490,64,"Helm","Augment 1","Yellow",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10500,65,"Helm","Augment 1","Blue",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10510,66,"Helm","Augment 1","Colorless",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10520,67,"Helm","Augment 2","Yellow",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10530,68,"Helm","Augment 2","Blue",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10540,69,"Helm","Augment 2","Colorless",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10550,70,"Helm","Prefix","Ability (Intelligence)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10560,70,"Helm","Prefix","Ability (Wisdom)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10570,70,"Helm","Prefix","Sheltering",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10580,70,"Helm","Prefix","Fortification",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10590,70,"Helm","Prefix","Persuasion",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10600,70,"Helm","Prefix","Skill (Concentration)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10610,70,"Helm","Prefix","Skill (Haggle)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10620,70,"Helm","Prefix","Skill (Intimidate)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10630,70,"Helm","Prefix","Skill (Listen)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10640,70,"Helm","Prefix","Underwater Action",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10650,70,"Helm","Prefix","Wizardry",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10660,70,"Helm","Prefix","Incite",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10670,70,"Helm","Prefix","Sacred",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10680,70,"Helm","Suffix","Stunning",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10690,70,"Helm","Suffix","Accuracy",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10700,70,"Helm","Suffix","Resistance",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10710,70,"Helm","Suffix","Skill (Diplomacy)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10720,70,"Helm","Suffix","Skill (Search)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10730,70,"Helm","Suffix","Spellsight",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10740,70,"Helm","Suffix","Skill (Spot)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10750,70,"Helm","Suffix","Insightful Skill (Intimidate)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10760,70,"Helm","Suffix","Spell Focus Mastery",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10770,70,"Helm","Suffix","Eternal Faith",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10780,95,"Helm","Extra","Insightful Ability (Intelligence)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10790,95,"Helm","Extra","Insightful Ability (Wisdom)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10800,95,"Helm","Extra","Insightful Magical Sheltering",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10810,95,"Helm","Extra","Insightful Physical Sheltering",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10820,95,"Helm","Extra","Resist (Acid)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10830,95,"Helm","Extra","Resist (Cold)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10840,95,"Helm","Extra","Resist (Electric)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10850,95,"Helm","Extra","Resist (Fire)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10860,95,"Helm","Extra","Resist (Light)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10870,95,"Helm","Extra","Resist (Negative)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10880,95,"Helm","Extra","Resist (Poison)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10890,95,"Helm","Extra","Resist (Sonic)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10900,95,"Helm","Extra","Insightful Fortification",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10910,95,"Helm","Extra","Insightful Skill (Concentration)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10920,95,"Helm","Extra","Insightful Skill (Haggle)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10930,95,"Helm","Extra","Insightful Skill (Listen)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10940,95,"Helm","Extra","Insightful Skill (Search)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10950,95,"Helm","Extra","Insightful Spellsight",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10960,95,"Helm","Extra","Insightful Skill (Spot)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10970,95,"Helm","Extra","Insightful Incite",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10980,128,"Necklace","Augment 1","Yellow",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
10990,129,"Necklace","Augment 1","Blue",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11000,130,"Necklace","Augment 1","Colorless",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11010,131,"Necklace","Augment 2","Yellow",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11020,132,"Necklace","Augment 2","Blue",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11030,133,"Necklace","Augment 2","Colorless",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11040,134,"Necklace","Prefix","Ability (Constitution)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11050,134,"Necklace","Prefix","Disease Ward",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11060,134,"Necklace","Prefix","Poison Ward",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11070,134,"Necklace","Prefix","Enchantment Resistance",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11080,134,"Necklace","Prefix","Spell Saves",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11090,134,"Necklace","Prefix","Skill (Heal)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11100,134,"Necklace","Prefix","Skill (Repair)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11110,134,"Necklace","Prefix","Skill (Tumble)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11120,134,"Necklace","Prefix","Spell Focus (Abjuration)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11130,134,"Necklace","Prefix","Spell Focus (Conjuration)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11140,134,"Necklace","Prefix","Spell Focus (Divination)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11150,134,"Necklace","Prefix","Spell Focus (Enchantment)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11160,134,"Necklace","Prefix","Spell Focus (Evocation)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11170,134,"Necklace","Prefix","Spell Focus (Illusion)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11180,134,"Necklace","Prefix","Spell Focus (Necromancy)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11190,134,"Necklace","Prefix","Spell Focus (Transmutation)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11200,134,"Necklace","Prefix","Illusion Resistance",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11210,134,"Necklace","Prefix","Insightful Spell Resistance",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11220,134,"Necklace","Prefix","Sacred",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11230,134,"Necklace","Suffix","Ability (Charisma)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11240,134,"Necklace","Suffix","Sheltering",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11250,134,"Necklace","Suffix","Natural Armor",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11260,134,"Necklace","Suffix","False Life",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11270,134,"Necklace","Suffix","Skill (Search)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11280,134,"Necklace","Suffix","Spellsight",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11290,134,"Necklace","Suffix","Skill (Spot)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11300,134,"Necklace","Suffix","Insightful Skill (Bluff)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11310,134,"Necklace","Suffix","Insightful Skill (Intimidate)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11320,134,"Necklace","Suffix","Spell Power (Combustion)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11330,134,"Necklace","Suffix","Spell Power (Corrosion)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11340,134,"Necklace","Suffix","Spell Power (Devotion)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11350,134,"Necklace","Suffix","Spell Power (Glaciation)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11360,134,"Necklace","Suffix","Spell Power (Impulse)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11370,134,"Necklace","Suffix","Spell Power (Magnetism)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11380,134,"Necklace","Suffix","Spell Power (Nullification)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11390,134,"Necklace","Suffix","Spell Power (Radiance)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11400,134,"Necklace","Suffix","Spell Power (Reconstruction)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11410,134,"Necklace","Suffix","Spell Power (Resonance)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11420,134,"Necklace","Suffix","Insightful Wizardry",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11430,134,"Necklace","Suffix","Eternal Faith",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11440,159,"Necklace","Extra","Insightful Ability (Charisma)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11450,159,"Necklace","Extra","Insightful Ability (Constitution)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11460,159,"Necklace","Extra","Insightful Magical Sheltering",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11470,159,"Necklace","Extra","Insightful Physical Sheltering",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11480,159,"Necklace","Extra","Insightful Disease Ward",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11490,159,"Necklace","Extra","Insightful Poison Ward",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11500,159,"Necklace","Extra","Insightful Enchantment Resistance",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11510,159,"Necklace","Extra","Insightful Spell Saves",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11520,159,"Necklace","Extra","Insightful Skill (Heal)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11530,159,"Necklace","Extra","Insightful Skill (Repair)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11540,159,"Necklace","Extra","Insightful Skill (Search)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11550,159,"Necklace","Extra","Insightful Skill (Spot)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11560,159,"Necklace","Extra","Insightful Skill (Tumble)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11570,159,"Necklace","Extra","Insightful Illusion Resistance",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11580,192,"Trinket","Prefix","Ability (Charisma)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11590,192,"Trinket","Prefix","Ability (Constitution)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11600,192,"Trinket","Prefix","Ability (Dexterity)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11610,192,"Trinket","Prefix","Ability (Intelligence)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11620,192,"Trinket","Prefix","Ability (Strength)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11630,192,"Trinket","Prefix","Ability (Wisdom)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11640,192,"Trinket","Prefix","Sheltering",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11650,192,"Trinket","Prefix","Absorption (Acid)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11660,192,"Trinket","Prefix","Absorption (Cold)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11670,192,"Trinket","Prefix","Absorption (Electricity)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11680,192,"Trinket","Prefix","Absorption (Fire)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11690,192,"Trinket","Prefix","Absorption (Sonic)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11700,192,"Trinket","Prefix","Protection",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11710,192,"Trinket","Prefix","Dodge",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11720,192,"Trinket","Prefix","Assassinate",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11730,192,"Trinket","Prefix","Melee Alacrity",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11740,192,"Trinket","Prefix","Ranged Alacrity",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11750,192,"Trinket","Prefix","Combat Mastery",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11760,192,"Trinket","Prefix","Sunder",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11770,192,"Trinket","Prefix","Stunning",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11780,192,"Trinket","Prefix","Trip",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11790,192,"Trinket","Prefix","Seeker",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11800,192,"Trinket","Prefix","Resist (Acid)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11810,192,"Trinket","Prefix","Resist (Cold)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11820,192,"Trinket","Prefix","Resist (Electric)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11830,192,"Trinket","Prefix","Resist (Fire)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11840,192,"Trinket","Prefix","Resist (Light)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11850,192,"Trinket","Prefix","Resist (Negative)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11860,192,"Trinket","Prefix","Resist (Poison)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11870,192,"Trinket","Prefix","Resist (Sonic)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11880,192,"Trinket","Prefix","Spell Penetration",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11890,192,"Trinket","Prefix","Blindness Immunity",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11900,192,"Trinket","Prefix","Disease Ward",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11910,192,"Trinket","Prefix","Poison Ward",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11920,192,"Trinket","Prefix","Striding/Speed",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11930,192,"Trinket","Prefix","Fortification",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11940,192,"Trinket","Prefix","Doubleshot",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11950,192,"Trinket","Prefix","Doublestrike",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11960,192,"Trinket","Prefix","Enchantment Resistance",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11970,192,"Trinket","Prefix","Fortitude",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11980,192,"Trinket","Prefix","Reflex",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
11990,192,"Trinket","Prefix","Spell Saves",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
12000,192,"Trinket","Prefix","Will",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
12010,192,"Trinket","Prefix","Resistance",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
12020,192,"Trinket","Prefix","Persuasion",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
12030,192,"Trinket","Prefix","Skill (Balance)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
12040,192,"Trinket","Prefix","Skill (Bluff)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
12050,192,"Trinket","Prefix","Skill (Concentration)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
12060,192,"Trinket","Prefix","Skill (Diplomacy)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
12070,192,"Trinket","Prefix","Skill (Disable Device)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
12080,192,"Trinket","Prefix","Skill (Haggle)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
12090,192,"Trinket","Prefix","Skill (Heal)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
12100,192,"Trinket","Prefix","Skill (Hide)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
12110,192,"Trinket","Prefix","Skill (Intimidate)",0,"2021-10-04 04:02:45",0,"2021-10-04 04:02:45"
12120,192,"Trinket","Prefix","Skill (Listen)",0,"2021-10-04 04:02:46",0,"2021-10-04 04:02:46"
12130,192,"Trinket","Prefix","Skill (Move Silently)",0,"2021-10-04 04:02:46",0,"2021-10-04 04:02:46"
12140,192,"Trinket","Prefix","Skill (Open Lock)",0,"2021-10-04 04:02:46",0,"2021-10-04 04:02:46"
12150,192,"Trinket","Prefix","Skill (Perform)",0,"2021-10-04 04:02:46",0,"2021-10-04 04:02:46"
12160,192,"Trinket","Prefix","Skill (Repair)",0,"2021-10-04 04:02:46",0,"2021-10-04 04:02:46"
12170,192,"Trinket","Prefix","Skill (Search)",0,"2021-10-04 04:02:46",0,"2021-10-04 04:02:46"
12180,192,"Trinket","Prefix","Spellsight",0,"2021-10-04 04:02:46",0,"2021-10-04 04:02:46"
12190,192,"Trinket","Prefix","Skill (Tumble)",0,"2021-10-04 04:02:46",0,"2021-10-04 04:02:46"
12200,192,"Trinket","Prefix","Spell Lore (Acid)",0,"2021-10-04 04:02:46",0,"2021-10-04 04:02:46"
12210,192,"Trinket","Prefix","Spell Lore (Fire)",0,"2021-10-04 04:02:46",0,"2021-10-04 04:02:46"
12220,192,"Trinket","Prefix","Spell Lore (Healing)",0,"2021-10-04 04:02:46",0,"2021-10-04 04:02:46"
12230,192,"Trinket","Prefix","Spell Lore (Ice)",0,"2021-10-04 04:02:46",0,"2021-10-04 04:02:46"
12240,192,"Trinket","Prefix","Spell Lore (Laceration)",0,"2021-10-04 04:02:46",0,"2021-10-04 04:02:46"
12250,192,"Trinket","Prefix","Spell Lore (Lightning)",0,"2021-10-04 04:02:46",0,"2021-10-04 04:02:46"
12260,192,"Trinket","Prefix","Spell Lore (Radiance)",0,"2021-10-04 04:02:46",0,"2021-10-04 04:02:46"
12270,192,"Trinket","Prefix","Spell Lore (Repair)",0,"2021-10-04 04:02:46",0,"2021-10-04 04:02:46"
