Min Level,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Avg Per Lvl,
Enhance bonus*,1,1,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,7,7,8,10,11,12,0.3793103448,
Weapon dice mult*,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2,2,3,3,3,3,4,4,4,0.1034482759,
Spellcasting implement*,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,1,
Ability,1,2,2,3,4,4,5,5,5,6,6,6,7,7,8,8,8,9,9,9,10,10,11,11,11,12,12,12,13,13,0.4137931034,
 Ins. Ability,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,6,6,0.2068965517,
Ability damage effect,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,0.06896551724,
Absorption,11,13,13,15,16,17,18,18,19,20,21,21,22,23,24,24,25,26,27,27,28,29,30,30,31,32,33,33,34,35,0.8275862069,
Accuracy,2,3,4,5,6,6,7,8,8,9,9,10,11,11,12,12,13,14,14,15,15,16,17,17,18,18,19,20,20,21,0.6551724138,
 Ins. Accuracy,0,0,0,0,0,0,0,0,0,4,4,4,5,5,5,5,6,6,6,7,7,7,8,8,8,8,9,9,9,10,0.3448275862,
Alacrity Ranged/Melee,1,2,2,4,4,5,5,6,6,7,8,9,9,10,11,12,12,13,14,15,15,15,15,15,15,15,15,15,15,15,0.4827586207,
Amplification,4,7,8,12,14,16,17,19,21,22,24,25,27,29,30,32,33,35,37,38,40,41,43,45,46,48,49,51,53,54,1.724137931,
Armor-piercing,2,3,4,5,6,6,7,8,8,9,9,10,11,11,12,12,13,14,14,15,15,16,17,17,18,18,19,20,20,21,0.6551724138,
Assassinate,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,0.1724137931,
 Ins. Assassinate,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0.06896551724,
Bashing,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,0.1724137931,d6
Bane,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,0.1724137931,d10
Combat mastery,1,2,2,3,3,3,4,4,4,5,5,5,6,6,6,6,7,7,7,8,8,8,9,9,9,9,10,10,10,11,0.3448275862,
 Ins. Combat mastery,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,6,0.2068965517,
Deadly,1,2,2,3,3,3,4,4,4,5,5,5,6,6,6,6,7,7,7,8,8,8,9,9,9,9,10,10,10,11,0.3448275862,
 Ins. Deadly,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,5,0.1724137931,
Diversion,2,3,4,5,6,6,7,8,8,9,9,10,11,11,12,12,13,14,14,15,15,16,17,17,18,18,19,20,20,21,0.6551724138,
 Ins. Diversion,0,0,0,0,0,0,0,0,0,4,4,4,5,5,5,5,6,6,6,7,7,7,8,8,8,8,9,9,9,10,0.3448275862,
Dodge,1,2,2,3,4,4,5,5,5,6,6,6,7,7,8,8,8,9,9,9,10,10,11,11,11,12,12,12,13,13,0.4137931034,
 Ins. Dodge,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,6,6,0.2068965517,
Doubleshot,1,1,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,6,7,7,7,7,8,8,8,8,0.2413793103,
Doublestrike,2,2,3,4,4,5,5,6,6,6,7,7,8,8,9,9,9,10,10,11,11,12,12,12,13,13,14,14,15,15,0.4482758621,
Effect (dmg),1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,0.1724137931,d6
Effect (dmg) from Augment,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,0.2413793103,d6
Enchantment/Illusion resistance,1,2,2,3,3,3,4,4,4,5,5,5,6,6,6,6,7,7,7,8,8,8,9,9,9,9,10,10,10,11,0.3448275862,
 Ins. Ench/Ill resistance,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,5,0.1724137931,
False life,4,7,8,12,14,15,17,18,20,21,23,24,26,27,29,30,32,33,35,36,38,39,41,42,44,45,47,48,50,51,1.620689655,
Fortification,38,43,47,55,59,63,66,70,73,77,80,84,87,90,94,97,101,104,108,111,115,118,122,125,128,132,135,139,142,146,3.724137931,
 Ins. Fortification,0,0,0,0,0,0,0,0,0,38,40,42,43,45,47,48,50,52,54,55,57,59,61,62,64,66,67,69,71,73,2.517241379,
Incite,7,9,10,12,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,37,38,39,40,41,1.172413793,
 Ins. Incite,0,0,0,0,0,0,0,0,0,7,7,8,9,9,10,10,10,11,12,12,13,13,14,14,15,16,16,17,17,18,0.6206896552,
Lore (all),1,2,2,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,0.3793103448,
Lore (one type),6,6,7,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,0.5172413793,
Natural armor,1,2,2,3,4,4,5,5,5,6,6,6,7,7,8,8,8,9,9,9,10,10,11,11,11,12,12,12,13,13,0.4137931034,
Parrying,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,6,6,0.2068965517,
Penetration,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,6,0.1724137931,
 Ins. Penetration,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,0.1034482759,
Poison/Disease ward,1,2,2,3,3,3,4,4,4,5,5,5,6,6,6,6,7,7,7,8,8,8,9,9,9,9,10,10,10,11,0.3448275862,
 Ins. Poi/Dis ward,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,5,0.1724137931,
Potency,16,20,23,29,33,36,38,41,44,46,49,52,55,57,60,63,65,68,71,73,76,79,82,84,87,90,92,95,98,100,2.896551724,
Protection,1,2,2,3,3,3,4,4,4,5,5,5,6,6,6,6,7,7,7,8,8,8,9,9,9,9,10,10,10,11,0.3448275862,
Reflex/Fortitude/Will,1,2,2,3,3,3,4,4,4,5,5,5,6,6,6,6,7,7,7,8,8,8,9,9,9,9,10,10,10,11,0.3448275862,
Resistance,4,7,8,12,14,15,17,18,20,21,23,24,26,27,29,30,32,33,35,36,38,39,41,42,44,45,47,48,50,51,1.620689655,
 Ins. Resistance,0,0,0,0,0,0,0,0,0,10,11,11,12,13,14,14,15,16,17,17,18,19,20,20,21,22,23,23,24,25,0.8620689655,
Resistance (save),1,2,2,3,3,3,4,4,4,5,5,5,6,6,6,6,7,7,7,8,8,8,9,9,9,9,10,10,10,11,0.3448275862,
Seeker,1,2,2,3,4,4,5,5,5,6,6,6,7,7,8,8,8,9,9,9,10,10,11,11,11,12,12,12,13,13,0.4137931034,
 Ins. Seeker,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,6,6,0.2068965517,
Sheltering,3,4,5,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,1.068965517,
 Ins. Sheltering,0,0,0,0,0,0,0,0,0,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,0.5517241379,
Shield bashing,2,3,4,5,6,6,7,8,8,9,9,10,11,11,12,12,13,14,14,15,15,16,17,17,18,18,19,20,20,21,0.6551724138,
Shield spikes,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,0.1724137931,d6
Skill,3,4,5,6,7,8,9,10,11,12,13,14,15,15,16,16,16,17,17,17,18,18,18,18,19,19,19,19,20,20,0.5862068966,
 Ins. Skill,0,0,0,0,0,0,0,0,0,6,6,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,0.3448275862,
Spell Focus (one type),1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,6,0.1724137931,
 Ins. Spell focus (one),0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,0.1034482759,
Spell focus Mastery,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,0.1379310345,
Spellpower,38,43,47,55,59,63,66,70,73,77,80,84,87,90,94,97,101,104,108,111,115,118,122,125,128,132,135,139,142,146,3.724137931,
 Ins. Spellpower,0,0,0,0,0,0,0,0,0,38,40,42,43,45,47,48,50,52,54,55,57,59,61,62,64,66,67,69,71,73,2.517241379,
Spell Resistance (SR),3,4,5,7,8,9,10,11,12,13,13,14,15,16,17,18,19,20,20,21,22,23,24,25,26,27,27,28,29,30,0.9310344828,
 Ins. Spell Resistance,0,0,0,0,0,0,0,0,0,7,7,7,8,8,9,9,10,10,10,11,11,12,12,13,13,14,14,14,15,15,0.5172413793,
Spell saves,1,2,2,3,3,3,4,4,4,5,5,5,6,6,6,6,7,7,7,8,8,8,9,9,9,9,10,10,10,11,0.3448275862,
